payment_id,ride_id,payment_method,amount,payment_status
165,165,Cash,188.17,Paid
166,166,Wallet,187.92,Paid
167,167,UPI,124.32,Paid
168,168,Debit Card,87.91,Paid
169,169,Debit Card,115.46,Paid
170,170,Cash,113.51,Paid
171,171,UPI,0,Cancelled
172,172,UPI,178.08,Paid
173,173,UPI,130.24,Paid
174,174,Debit Card,106.27,Paid
175,175,UPI,186.17,Paid
176,176,Wallet,166.15,Paid
177,177,Debit Card,235.16,Paid
178,178,UPI,165.57,Paid
179,179,Cash,0,Refunded
180,180,Cash,123.68,Paid
181,181,UPI,252.13,Paid
182,182,Credit Card,145.2,Paid
183,183,UPI,178.46,Paid
184,184,UPI,370.23,Paid
185,185,Debit Card,102.78,Paid
186,186,UPI,240.77,Paid
187,187,UPI,284.66,Paid
188,188,Credit Card,139.72,Paid
189,189,Wallet,162.64,Paid
190,190,UPI,117.66,Paid
191,191,Cash,298.83,Paid
192,192,Cash,258.1,Paid
193,193,Debit Card,334.5,Paid
194,194,UPI,0,Failed
195,195,Debit Card,0,Cancelled
196,196,Credit Card,294,Paid
197,197,Credit Card,341.96,Paid
198,198,UPI,352.4,Paid
199,199,Debit Card,125.96,Paid
200,200,Cash,223.83,Paid
201,201,Debit Card,250.69,Paid
202,202,UPI,151.75,Paid
203,203,Debit Card,209.93,Paid
204,204,UPI,122.87,Paid
205,205,Debit Card,159.4,Paid
206,206,Credit Card,161.57,Paid
207,207,UPI,165.6,Paid
208,208,Credit Card,163.73,Paid
209,209,Cash,222.87,Paid
210,210,Credit Card,114.94,Paid
211,211,Credit Card,113.05,Paid
212,212,UPI,0,Refunded
213,213,UPI,297.64,Paid
214,214,Credit Card,117.61,Paid
215,215,UPI,185.29,Paid
216,216,Debit Card,181.58,Paid
217,217,Cash,317.88,Paid
218,218,Debit Card,202.74,Paid
219,219,Credit Card,384.66,Paid
220,220,UPI,183.94,Paid
221,221,Credit Card,213.67,Paid
222,222,UPI,123.54,Paid
223,223,Debit Card,261.59,Paid
224,224,UPI,281.06,Paid
225,225,UPI,148.03,Paid
226,226,Credit Card,0,Refunded
227,227,UPI,157.01,Paid
228,228,UPI,0,Cancelled
229,229,Wallet,114.3,Paid
230,230,UPI,0,Failed
231,231,Cash,396.77,Paid
232,232,UPI,142.33,Paid
233,233,Cash,127.47,Paid
234,234,UPI,160.32,Paid
235,235,UPI,88.98,Paid
236,236,UPI,247.23,Paid
237,237,Credit Card,154.16,Paid
238,238,UPI,0,Failed
239,239,Credit Card,342.05,Paid
240,240,Credit Card,0,Refunded
241,241,Credit Card,106.98,Paid
242,242,Debit Card,264.07,Paid
243,243,Credit Card,358.22,Paid
244,244,UPI,181.28,Paid
245,245,UPI,173.34,Paid
246,246,Credit Card,215.87,Paid
247,247,UPI,235.26,Paid
248,248,Credit Card,120.53,Paid
249,249,UPI,0,Refunded
250,250,UPI,141.67,Paid
251,251,Cash,0,Failed
252,252,UPI,0,Refunded
253,253,UPI,163.33,Paid
254,254,UPI,151.55,Paid
255,255,Cash,168.48,Paid
256,256,Credit Card,113.16,Paid
257,257,Debit Card,173.07,Paid
258,258,Credit Card,184.53,Paid
259,259,Debit Card,380.5,Paid
260,260,UPI,167.92,Paid
261,261,Debit Card,0,Failed
262,262,Wallet,117.98,Paid
263,263,UPI,131.47,Paid
264,264,UPI,0,Cancelled
265,265,UPI,232.13,Paid
266,266,UPI,229.29,Paid
267,267,Debit Card,229.65,Paid
268,268,Credit Card,179.42,Paid
269,269,Debit Card,186.28,Paid
270,270,UPI,0,Cancelled
271,271,Debit Card,183.16,Paid
272,272,UPI,212.99,Paid
273,273,Credit Card,152.1,Paid
274,274,Cash,162.7,Paid
275,275,Credit Card,0,Refunded
276,276,UPI,0,Cancelled
277,277,Credit Card,268.41,Paid
278,278,UPI,88.44,Paid
279,279,Credit Card,227.21,Paid
280,280,UPI,139.91,Paid
281,281,Wallet,324.98,Paid
282,282,Credit Card,305.55,Paid
283,283,UPI,0,Cancelled
284,284,UPI,208.98,Paid
285,285,Credit Card,0,Cancelled
286,286,Debit Card,185.28,Paid
287,287,UPI,157.69,Paid
288,288,Credit Card,0,Failed
289,289,Cash,246.22,Paid
290,290,Cash,0,Cancelled
291,291,UPI,221.43,Paid
292,292,UPI,229.67,Paid
293,293,Debit Card,0,Refunded
294,294,UPI,169.78,Paid
295,295,Debit Card,0,Refunded
296,296,Debit Card,0,Failed
297,297,UPI,256.22,Paid
298,298,Debit Card,151.31,Paid
299,299,Cash,86.28,Paid
300,300,Cash,165.54,Paid
301,301,UPI,0,Cancelled
302,302,Wallet,279.15,Paid
303,303,Credit Card,208.55,Paid
304,304,UPI,171.24,Paid
305,305,Debit Card,97.69,Paid
306,306,Debit Card,0,Refunded
307,307,Credit Card,194.01,Paid
308,308,UPI,0,Cancelled
309,309,UPI,123.41,Paid
310,310,Debit Card,302.98,Paid
311,311,UPI,195.85,Paid
312,312,UPI,160.04,Paid
313,313,Wallet,0,Cancelled
314,314,Wallet,239.73,Paid
315,315,Credit Card,534.99,Paid
316,316,UPI,254.42,Paid
317,317,Wallet,170.97,Paid
318,318,UPI,179,Paid
319,319,UPI,266.18,Paid
320,320,Cash,341.14,Paid
321,321,UPI,136.59,Paid
322,322,Credit Card,0,Refunded
323,323,UPI,173.75,Paid
324,324,Credit Card,207.7,Paid
325,325,UPI,153.82,Paid
326,326,UPI,318.27,Paid
327,327,UPI,0,Refunded
328,328,UPI,239.14,Paid
329,329,UPI,223.12,Paid
330,330,Wallet,101.99,Paid
331,331,UPI,170.51,Paid
332,332,UPI,109.65,Paid
333,333,UPI,136.69,Paid
334,334,Credit Card,123.41,Paid
335,335,UPI,102.11,Paid
336,336,Credit Card,0,Cancelled
337,337,UPI,160.98,Paid
338,338,Cash,0,Refunded
339,339,UPI,363.45,Paid
340,340,Cash,0,Refunded
341,341,Debit Card,195.2,Paid
342,342,Wallet,160.55,Paid
343,343,Credit Card,115.83,Paid
344,344,Wallet,201.76,Paid
345,345,Credit Card,139.06,Paid
346,346,UPI,436.25,Paid
347,347,Credit Card,97.28,Paid
348,348,Debit Card,127.72,Paid
349,349,Cash,257.75,Paid
350,350,UPI,0,Cancelled
351,351,Wallet,163.18,Paid
352,352,Credit Card,132.29,Paid
353,353,Debit Card,220.41,Paid
354,354,Cash,206.89,Paid
355,355,UPI,425.04,Paid
356,356,UPI,0,Failed
357,357,Debit Card,478.75,Paid
358,358,Credit Card,198.49,Paid
359,359,Cash,137.41,Paid
360,360,Credit Card,156.89,Paid
361,361,Debit Card,0,Cancelled
362,362,UPI,0,Refunded
363,363,Credit Card,148.23,Paid
364,364,UPI,257.02,Paid
365,365,Debit Card,209.95,Paid
366,366,Wallet,147.01,Paid
367,367,UPI,245.02,Paid
368,368,UPI,162.71,Paid
369,369,Credit Card,212.01,Paid
370,370,Credit Card,263.74,Paid
371,371,Credit Card,178.34,Paid
372,372,UPI,362.87,Paid
373,373,UPI,173.27,Paid
374,374,Wallet,0,Cancelled
375,375,UPI,139.4,Paid
376,376,UPI,167.48,Paid
377,377,Credit Card,0,Failed
378,378,UPI,0,Failed
379,379,UPI,191.44,Paid
380,380,UPI,197.68,Paid
381,381,Credit Card,210.68,Paid
382,382,Credit Card,272.19,Paid
383,383,UPI,326.38,Paid
384,384,Credit Card,0,Refunded
385,385,Debit Card,211.1,Paid
386,386,UPI,147.2,Paid
387,387,UPI,105.33,Paid
388,388,Debit Card,226.98,Paid
389,389,Credit Card,181.74,Paid
390,390,Credit Card,277.51,Paid
391,391,Cash,93.87,Paid
392,392,UPI,188.32,Paid
393,393,Credit Card,96.6,Paid
394,394,Debit Card,191.62,Paid
395,395,UPI,0,Refunded
396,396,UPI,196.88,Paid
397,397,Credit Card,0,Cancelled
398,398,UPI,172.68,Paid
399,399,Credit Card,261.99,Paid
400,400,Debit Card,114.4,Paid
401,401,UPI,136.4,Paid
402,402,UPI,0,Refunded
403,403,UPI,0,Cancelled
404,404,Credit Card,255.42,Paid
405,405,Wallet,120.91,Paid
406,406,UPI,118.44,Paid
407,407,UPI,0,Cancelled
408,408,Cash,165.81,Paid
409,409,Debit Card,266.7,Paid
410,410,Cash,198.99,Paid
411,411,Credit Card,225.35,Paid
412,412,UPI,0,Refunded
413,413,UPI,141.64,Paid
414,414,Wallet,149.51,Paid
415,415,Cash,124.31,Paid
416,416,Credit Card,135.26,Paid
417,417,UPI,128.8,Paid
418,418,UPI,183.75,Paid
419,419,UPI,0,Cancelled
420,420,Debit Card,173.82,Paid
421,421,Wallet,173.5,Paid
422,422,Credit Card,203.42,Paid
423,423,Cash,212.54,Paid
424,424,Debit Card,0,Refunded
425,425,UPI,225.39,Paid
426,426,Credit Card,168.77,Paid
427,427,Debit Card,291.62,Paid
428,428,UPI,207.25,Paid
429,429,Credit Card,167.73,Paid
430,430,UPI,0,Cancelled
431,431,Cash,104.17,Paid
432,432,UPI,274.69,Paid
433,433,UPI,141.11,Paid
434,434,Debit Card,198.3,Paid
435,435,Debit Card,277.06,Paid
436,436,Debit Card,0,Refunded
437,437,UPI,91.65,Paid
438,438,Wallet,140.41,Paid
439,439,Credit Card,445.55,Paid
440,440,UPI,0,Refunded
441,441,UPI,195.32,Paid
442,442,UPI,0,Cancelled
443,443,UPI,271.59,Paid
444,444,Debit Card,0,Refunded
445,445,UPI,259.29,Paid
446,446,UPI,147.34,Paid
447,447,UPI,522.19,Paid
448,448,Cash,239.56,Paid
449,449,UPI,93.73,Paid
450,450,UPI,266.79,Paid
451,451,Wallet,276.02,Paid
452,452,Credit Card,221.15,Paid
453,453,Credit Card,0,Refunded
454,454,UPI,232.16,Paid
455,455,Credit Card,0,Failed
456,456,Credit Card,153.74,Paid
457,457,Cash,220.78,Paid
458,458,Credit Card,226.42,Paid
459,459,Cash,101.97,Paid
460,460,Debit Card,0,Cancelled
461,461,UPI,177.39,Paid
462,462,Wallet,0,Refunded
463,463,UPI,0,Cancelled
464,464,UPI,206.73,Paid
465,465,UPI,0,Cancelled
466,466,Credit Card,167.2,Paid
467,467,UPI,0,Cancelled
468,468,Credit Card,246.76,Paid
469,469,Wallet,199.29,Paid
470,470,Credit Card,0,Refunded
471,471,UPI,216.28,Paid
472,472,Cash,133.63,Paid
473,473,UPI,146.58,Paid
474,474,Credit Card,146.55,Paid
475,475,Credit Card,131.72,Paid
476,476,Debit Card,0,Refunded
477,477,Debit Card,211.92,Paid
478,478,Credit Card,258.32,Paid
479,479,Credit Card,211.43,Paid
480,480,Debit Card,196.84,Paid
481,481,UPI,157.06,Paid
482,482,Wallet,0,Cancelled
483,483,Credit Card,0,Refunded
484,484,Debit Card,220.17,Paid
485,485,Credit Card,166.56,Paid
486,486,Cash,0,Cancelled
487,487,Credit Card,340.53,Paid
488,488,UPI,305.47,Paid
489,489,Cash,147.49,Paid
490,490,UPI,0,Cancelled
491,491,Credit Card,182.21,Paid
492,492,UPI,212.5,Paid
493,493,UPI,93.87,Paid
494,494,UPI,175.38,Paid
495,495,Cash,264.2,Paid
496,496,UPI,110.59,Paid
497,497,UPI,230.49,Paid
498,498,Debit Card,225.25,Paid
499,499,Cash,100.07,Paid
500,500,Cash,263.68,Paid
501,501,Credit Card,0,Refunded
502,502,Debit Card,0,Cancelled
503,503,Credit Card,112.68,Paid
504,504,Cash,157.97,Paid
505,505,UPI,0,Refunded
506,506,UPI,147.93,Paid
507,507,UPI,292.39,Paid
508,508,Credit Card,178.83,Paid
509,509,UPI,292.09,Paid
510,510,UPI,0,Refunded
511,511,Wallet,0,Cancelled
512,512,UPI,159.97,Paid
513,513,Cash,234.73,Paid
514,514,Debit Card,149.13,Paid
515,515,UPI,140.88,Paid
516,516,UPI,153.18,Paid
517,517,Cash,120.52,Paid
518,518,Cash,155.61,Paid
519,519,UPI,0,Refunded
520,520,Credit Card,133.14,Paid
521,521,Credit Card,150.43,Paid
522,522,Wallet,142.6,Paid
523,523,Credit Card,173.64,Paid
524,524,UPI,118.37,Paid
525,525,Debit Card,128.08,Paid
526,526,Credit Card,184.45,Paid
527,527,UPI,0,Refunded
528,528,Credit Card,0,Cancelled
529,529,Wallet,150.79,Paid
530,530,Cash,292.43,Paid
531,531,Debit Card,207.57,Paid
532,532,UPI,133.76,Paid
533,533,UPI,282.84,Paid
534,534,Credit Card,0,Failed
535,535,UPI,249.76,Paid
536,536,Credit Card,121.77,Paid
537,537,UPI,153.07,Paid
538,538,UPI,0,Refunded
539,539,UPI,0,Cancelled
540,540,UPI,128.02,Paid
541,541,Debit Card,175.33,Paid
542,542,Credit Card,134.73,Paid
543,543,UPI,86.14,Paid
544,544,UPI,100.17,Paid
545,545,Credit Card,0,Refunded
546,546,Cash,86.3,Paid
547,547,Credit Card,0,Refunded
548,548,UPI,121.38,Paid
549,549,Credit Card,0,Cancelled
550,550,UPI,108.76,Paid
551,551,Cash,260.43,Paid
552,552,UPI,119.76,Paid
553,553,UPI,167.77,Paid
554,554,UPI,0,Cancelled
555,555,Credit Card,129.73,Paid
556,556,Debit Card,253.02,Paid
557,557,Credit Card,197.65,Paid
558,558,Wallet,247.58,Paid
559,559,UPI,195.37,Paid
560,560,UPI,210.58,Paid
561,561,Debit Card,224.44,Paid
562,562,UPI,156.95,Paid
563,563,Wallet,0,Cancelled
564,564,Cash,0,Cancelled
565,565,Credit Card,151.42,Paid
566,566,Debit Card,429.5,Paid
567,567,Debit Card,241.12,Paid
568,568,Debit Card,176.51,Paid
569,569,UPI,123.26,Paid
570,570,Credit Card,153.69,Paid
571,571,UPI,260.77,Paid
572,572,Debit Card,184.09,Paid
573,573,UPI,175.22,Paid
574,574,UPI,0,Refunded
575,575,UPI,424.1,Paid
576,576,Wallet,99.15,Paid
577,577,Debit Card,0,Refunded
578,578,Credit Card,122.1,Paid
579,579,UPI,109.11,Paid
580,580,UPI,185.69,Paid
581,581,Debit Card,91.17,Paid
582,582,Credit Card,247.86,Paid
583,583,UPI,151.87,Paid
584,584,Credit Card,176.54,Paid
585,585,UPI,0,Refunded
586,586,Credit Card,93.84,Paid
587,587,Credit Card,0,Cancelled
588,588,Cash,85.91,Paid
589,589,Wallet,0,Failed
590,590,UPI,173.85,Paid
591,591,Debit Card,146.84,Paid
592,592,Cash,111.31,Paid
593,593,Credit Card,323.59,Paid
594,594,UPI,83.27,Paid
595,595,UPI,104.45,Paid
596,596,Credit Card,0,Cancelled
597,597,UPI,0,Refunded
598,598,UPI,95.99,Paid
599,599,UPI,418.91,Paid
600,600,Wallet,191.48,Paid
601,601,Cash,177.54,Paid
602,602,Wallet,0,Cancelled
603,603,Wallet,250.48,Paid
604,604,Credit Card,0,Cancelled
605,605,Credit Card,161.07,Paid
606,606,Cash,206.94,Paid
607,607,Wallet,284.66,Paid
608,608,Credit Card,200.13,Paid
609,609,UPI,149.93,Paid
610,610,UPI,0,Failed
611,611,Debit Card,189.96,Paid
612,612,UPI,109.73,Paid
613,613,Credit Card,133.74,Paid
614,614,Wallet,167.71,Paid
615,615,UPI,178.51,Paid
616,616,UPI,356.09,Paid
617,617,Wallet,121.08,Paid
618,618,Credit Card,0,Cancelled
619,619,UPI,147.28,Paid
620,620,UPI,0,Refunded
621,621,Cash,150.79,Paid
622,622,Credit Card,0,Refunded
623,623,Credit Card,123.81,Paid
624,624,UPI,249.28,Paid
625,625,Credit Card,0,Refunded
626,626,Debit Card,115.29,Paid
627,627,UPI,110.21,Paid
628,628,UPI,219.07,Paid
629,629,Credit Card,0,Cancelled
630,630,Credit Card,0,Cancelled
631,631,UPI,300.08,Paid
632,632,Credit Card,229.65,Paid
633,633,Credit Card,0,Refunded
634,634,UPI,185.61,Paid
635,635,UPI,269.05,Paid
636,636,UPI,386.06,Paid
637,637,Cash,338.31,Paid
638,638,UPI,199.25,Paid
639,639,Cash,264.01,Paid
640,640,UPI,120.53,Paid
641,641,Cash,282.1,Paid
642,642,UPI,135.6,Paid
643,643,UPI,312.35,Paid
644,644,UPI,0,Refunded
645,645,UPI,127.11,Paid
646,646,UPI,99.31,Paid
647,647,Debit Card,0,Refunded
648,648,Wallet,146.07,Paid
649,649,UPI,104.64,Paid
650,650,UPI,179.92,Paid
651,651,Credit Card,137.8,Paid
652,652,Credit Card,0,Cancelled
653,653,UPI,0,Failed
654,654,UPI,128.63,Paid
655,655,Cash,152.82,Paid
656,656,UPI,151.26,Paid
657,657,UPI,177.9,Paid
658,658,Wallet,365.91,Paid
659,659,UPI,289.44,Paid
660,660,Cash,96.99,Paid
661,661,Cash,239.36,Paid
662,662,Debit Card,0,Refunded
663,663,Credit Card,388.17,Paid
664,664,Wallet,145.08,Paid
665,665,Wallet,165.86,Paid
666,666,Credit Card,308.58,Paid
667,667,Debit Card,128.93,Paid
668,668,Cash,120.59,Paid
669,669,UPI,136.49,Paid
670,670,Credit Card,351.31,Paid
671,671,Cash,0,Refunded
672,672,Cash,312.72,Paid
673,673,Wallet,264.61,Paid
674,674,Debit Card,76.86,Paid
675,675,UPI,0,Failed
676,676,Credit Card,169.26,Paid
677,677,Wallet,79.24,Paid
678,678,Credit Card,0,Refunded
679,679,UPI,108.61,Paid
680,680,UPI,148,Paid
681,681,UPI,384.71,Paid
682,682,Debit Card,252.28,Paid
683,683,UPI,203.26,Paid
684,684,Credit Card,160.32,Paid
685,685,Credit Card,0,Cancelled
686,686,UPI,105.53,Paid
687,687,Credit Card,182.83,Paid
688,688,Cash,161.87,Paid
689,689,Debit Card,0,Cancelled
690,690,Credit Card,344.34,Paid
691,691,Debit Card,166.37,Paid
692,692,UPI,390.71,Paid
693,693,UPI,474.57,Paid
694,694,UPI,213.21,Paid
695,695,UPI,153.4,Paid
696,696,UPI,129.64,Paid
697,697,Debit Card,0,Cancelled
698,698,Credit Card,418.52,Paid
699,699,Debit Card,424.04,Paid
700,700,UPI,0,Failed
701,701,UPI,0,Refunded
702,702,Wallet,118.57,Paid
703,703,Debit Card,0,Cancelled
704,704,Credit Card,270.55,Paid
705,705,UPI,127.71,Paid
706,706,UPI,0,Refunded
707,707,UPI,148.57,Paid
708,708,Credit Card,64.3,Paid
709,709,UPI,196.99,Paid
710,710,Credit Card,241.94,Paid
711,711,UPI,152.13,Paid
712,712,Debit Card,224.25,Paid
713,713,UPI,0,Refunded
714,714,UPI,292.48,Paid
715,715,Credit Card,158.63,Paid
716,716,UPI,0,Cancelled
717,717,Wallet,188.07,Paid
718,718,UPI,500.28,Paid
719,719,UPI,75.92,Paid
720,720,Debit Card,161.35,Paid
721,721,UPI,94.9,Paid
722,722,Wallet,295.41,Paid
723,723,UPI,122.46,Paid
724,724,UPI,211.65,Paid
725,725,Credit Card,207.27,Paid
726,726,Credit Card,0,Refunded
727,727,Credit Card,209.16,Paid
728,728,UPI,149.21,Paid
729,729,Cash,95.73,Paid
730,730,UPI,0,Refunded
731,731,Credit Card,299.39,Paid
732,732,Credit Card,0,Refunded
733,733,Cash,165.92,Paid
734,734,UPI,0,Refunded
735,735,UPI,113.2,Paid
736,736,Cash,447.12,Paid
737,737,UPI,335.04,Paid
738,738,UPI,249.42,Paid
739,739,Credit Card,251.19,Paid
740,740,Debit Card,203.69,Paid
741,741,UPI,137.13,Paid
742,742,Debit Card,399.25,Paid
743,743,UPI,154.9,Paid
744,744,Wallet,140.55,Paid
745,745,UPI,168.73,Paid
746,746,UPI,118.62,Paid
747,747,UPI,222.76,Paid
748,748,Cash,143.2,Paid
749,749,UPI,141.98,Paid
750,750,UPI,206.87,Paid
751,751,Debit Card,139.11,Paid
752,752,Wallet,123.1,Paid
753,753,Credit Card,229.84,Paid
754,754,Wallet,0,Refunded
755,755,Debit Card,247.85,Paid
756,756,UPI,245.83,Paid
757,757,Debit Card,252.84,Paid
758,758,UPI,85.69,Paid
759,759,UPI,105.05,Paid
760,760,Cash,220.06,Paid
761,761,UPI,0,Cancelled
762,762,UPI,0,Refunded
763,763,Wallet,149.53,Paid
764,764,UPI,100.49,Paid
765,765,Credit Card,162.12,Paid
766,766,UPI,528.65,Paid
767,767,UPI,0,Refunded
768,768,UPI,198.66,Paid
769,769,Credit Card,420.51,Paid
770,770,Credit Card,221.69,Paid
771,771,Debit Card,406.57,Paid
772,772,Debit Card,0,Cancelled
773,773,UPI,250.34,Paid
774,774,Credit Card,125.3,Paid
775,775,UPI,140.44,Paid
776,776,UPI,0,Cancelled
777,777,UPI,134.43,Paid
778,778,UPI,0,Cancelled
779,779,UPI,180.48,Paid
780,780,UPI,0,Cancelled
781,781,UPI,276.86,Paid
782,782,UPI,190.27,Paid
783,783,UPI,226.48,Paid
784,784,Credit Card,185.86,Paid
785,785,UPI,137.27,Paid
786,786,UPI,0,Refunded
787,787,UPI,160.24,Paid
788,788,UPI,316.67,Paid
789,789,Credit Card,230.96,Paid
790,790,Debit Card,152.99,Paid
791,791,UPI,0,Cancelled
792,792,Debit Card,98.31,Paid
793,793,Credit Card,0,Failed
794,794,Debit Card,0,Refunded
795,795,UPI,257,Paid
796,796,Credit Card,179.16,Paid
797,797,UPI,0,Failed
798,798,Cash,256.18,Paid
799,799,Credit Card,185.31,Paid
800,800,UPI,250.65,Paid
801,801,UPI,206.43,Paid
802,802,UPI,0,Cancelled
803,803,Wallet,315.55,Paid
804,804,Cash,155.92,Paid
805,805,UPI,0,Refunded
806,806,UPI,124.35,Paid
807,807,UPI,141.61,Paid
808,808,Debit Card,431.28,Paid
809,809,UPI,186.01,Paid
810,810,UPI,122.65,Paid
811,811,UPI,182.87,Paid
812,812,Debit Card,339.65,Paid
813,813,UPI,382.4,Paid
814,814,Credit Card,222.89,Paid
815,815,UPI,0,Cancelled
816,816,Credit Card,190.85,Paid
817,817,UPI,0,Cancelled
818,818,UPI,0,Refunded
819,819,Debit Card,151.51,Paid
820,820,Credit Card,0,Cancelled
821,821,UPI,248.66,Paid
822,822,UPI,0,Refunded
823,823,Credit Card,180.89,Paid
824,824,UPI,295.17,Paid
825,825,UPI,336.19,Paid
826,826,UPI,156.42,Paid
827,827,UPI,181.15,Paid
828,828,UPI,127.58,Paid
829,829,Debit Card,211.92,Paid
830,830,Debit Card,98.05,Paid
831,831,Cash,146.84,Paid
832,832,UPI,242.18,Paid
833,833,Credit Card,132.9,Paid
834,834,Debit Card,126.66,Paid
835,835,Credit Card,0,Cancelled
836,836,UPI,0,Failed
837,837,UPI,289.87,Paid
838,838,UPI,104.81,Paid
839,839,Wallet,385.01,Paid
