rating_id,ride_id,rider_rating,driver_rating,feedback
386,4964,5,5,Could be better
387,4290,4,5,Very good
388,7576,4,5,Good
389,5717,5,5,Good
390,5102,5,4,Good
391,7662,5,4,Average
392,9935,5,5,Excellent
393,9326,5,5,Could be better
394,6578,4,5,Excellent
395,9762,4,5,Very good
396,7282,5,5,Good
397,5839,4,5,Very good
398,4397,4,5,Good
399,3193,5,5,Good
400,3494,5,4,Excellent
401,5680,4,5,Excellent
402,705,4,5,Very good
403,3787,4,5,Average
404,2664,4,3,Good
405,4349,5,5,Average
406,7325,5,5,Very good
407,7992,5,4,Very good
408,6864,5,5,Excellent
409,314,5,5,Very good
410,8514,3,5,Excellent
411,7050,5,5,Could be better
412,7838,3,5,Average
413,3942,5,4,Good
414,3573,5,4,Excellent
415,7874,4,5,Average
416,7644,5,5,Could be better
417,5085,4,5,Very good
418,6310,5,5,Average
419,2207,3,5,Good
420,231,5,5,Could be better
421,9888,4,5,Could be better
422,4621,5,4,Very good
423,1930,4,4,Very good
424,428,5,4,Excellent
425,914,4,4,Could be better
426,2129,4,5,Very good
427,8028,5,4,Average
428,2518,4,5,Very good
429,8538,4,5,Could be better
430,8930,5,5,Excellent
431,5207,5,4,Very good
432,2269,5,5,Average
433,655,3,5,Good
434,5188,5,4,Good
435,6331,3,5,Average
436,5441,5,5,Very good
437,6149,5,5,Very good
438,8565,4,5,Good
439,4226,5,5,Excellent
440,8270,4,5,Good
441,3700,5,4,Average
442,6150,5,4,Excellent
443,3645,4,4,Average
444,2120,5,5,Good
445,3754,5,5,Good
446,8150,5,5,Excellent
447,7221,5,5,Very good
448,2022,4,5,Very good
449,2042,4,5,Good
450,4065,4,5,Very good
451,9735,5,5,Average
452,4937,4,5,Average
453,4145,5,4,Very good
454,879,5,5,Excellent
455,1999,5,4,Average
456,6886,5,5,Average
457,830,4,5,Average
458,8545,5,5,Average
459,7507,5,5,Good
460,8705,5,5,Average
461,6072,5,5,Excellent
462,9297,5,5,Could be better
463,4767,5,4,Average
464,1500,5,5,Excellent
465,1788,5,5,Average
466,9113,5,5,Excellent
467,1040,5,5,Could be better
468,49,5,5,Excellent
469,2459,4,4,Very good
470,3430,3,5,Average
471,7780,3,5,Very good
472,6153,4,3,Average
473,1850,5,5,Average
474,7167,4,4,Very good
475,1387,4,5,Average
476,5295,4,5,Excellent
477,6599,5,5,Excellent
478,450,5,3,Could be better
479,1380,5,5,Very good
480,3101,4,5,Could be better
481,9738,5,5,Could be better
482,60,5,5,Excellent
483,6944,4,5,Could be better
484,8130,5,5,Average
485,5405,4,5,Very good
486,7581,5,5,Could be better
487,8239,5,5,Could be better
488,4149,5,4,Very good
489,2424,5,4,Very good
490,281,3,5,Could be better
491,241,5,5,Average
492,4025,4,5,Good
493,3176,5,5,Very good
494,3819,4,4,Could be better
495,5191,4,3,Average
496,4495,5,5,Good
497,512,5,5,Could be better
498,2925,3,3,Good
499,3094,3,4,Could be better
500,2551,4,5,Average
501,1650,4,5,Excellent
502,3389,5,5,Average
503,123,5,5,Average
504,2939,4,3,Excellent
505,5106,4,5,Average
506,1876,5,4,Excellent
507,1411,4,5,Very good
508,4573,4,5,Good
509,7656,3,5,Very good
510,1421,5,5,Very good
511,7502,5,5,Could be better
512,7169,5,5,Good
513,2100,3,4,Could be better
514,334,4,5,Excellent
515,4564,5,5,Average
516,9211,5,5,Very good
517,1313,4,5,Excellent
518,5995,5,5,Very good
519,1725,4,5,Could be better
520,9012,5,4,Excellent
521,6297,5,5,Very good
522,6432,5,4,Very good
523,1831,5,5,Very good
524,8751,5,4,Very good
525,6125,5,5,Excellent
526,2746,4,5,Excellent
527,2731,5,5,Good
528,5735,5,4,Average
529,6637,3,4,Excellent
530,5623,4,5,Excellent
531,1335,5,5,Excellent
532,6980,5,5,Good
533,495,4,5,Excellent
534,80,4,4,Very good
535,102,5,4,Could be better
536,6091,5,5,Average
537,1002,5,4,Very good
538,1581,5,5,Excellent
539,6222,5,5,Excellent
540,4062,5,3,Excellent
541,5413,5,5,Good
542,2032,5,5,Average
543,6912,4,5,Could be better
544,578,5,5,Very good
545,2775,4,3,Excellent
546,7162,4,5,Could be better
547,8279,5,5,Excellent
548,3632,5,5,Excellent
549,3900,4,5,Excellent
550,3803,4,4,Good
551,9462,3,4,Average
552,9903,5,5,Excellent
553,6656,5,4,Excellent
554,32,5,5,Excellent
555,7390,5,5,Excellent
556,2931,4,3,Very good
557,4878,5,5,Excellent
558,8768,4,4,Average
559,3724,5,5,Could be better
560,1791,5,5,Good
561,4355,5,5,Could be better
562,1627,5,5,Very good
563,2403,5,5,Excellent
564,2559,5,4,Average
565,4118,5,3,Good
566,608,3,5,Good
567,3737,5,4,Very good
568,398,5,5,Good
569,6145,5,5,Average
570,9832,3,5,Could be better
571,8489,5,4,Excellent
572,4529,5,4,Could be better
573,8982,5,3,Average
574,7514,5,3,Could be better
575,3118,3,5,Excellent
576,3288,3,5,Very good
577,1382,5,4,Good
578,7541,5,4,Average
579,9547,3,5,Could be better
580,1913,5,5,Good
581,3886,5,5,Excellent
582,6135,5,4,Could be better
583,9716,5,5,Average
584,3249,4,4,Excellent
585,4942,5,5,Average
586,5213,5,5,Could be better
587,2525,4,4,Could be better
588,9810,5,3,Excellent
589,1305,5,4,Average
590,8422,3,5,Very good
591,7020,5,3,Excellent
592,9238,3,4,Good
593,3784,4,5,Could be better
594,961,5,5,Excellent
595,2161,3,4,Very good
596,9290,5,3,Could be better
597,1832,5,5,Average
598,1360,5,5,Good
599,1996,5,4,Excellent
600,4409,5,5,Could be better
601,7022,4,5,Very good
602,2010,5,5,Could be better
603,3263,5,4,Excellent
604,7313,5,4,Could be better
605,3695,5,5,Excellent
606,8748,5,5,Very good
607,9237,5,5,Excellent
608,5659,5,5,Good
609,4590,5,5,Excellent
610,3532,5,4,Very good
611,4806,5,5,Good
612,5961,4,5,Excellent
613,9360,5,3,Could be better
614,6832,5,4,Average
615,3569,5,4,Excellent
616,8581,5,4,Good
617,1410,5,5,Excellent
618,6054,5,4,Could be better
619,9991,5,4,Average
620,4854,5,5,Excellent
621,3206,4,5,Could be better
622,2977,5,5,Very good
623,4679,5,5,Good
624,3563,4,5,Good
625,4266,5,4,Very good
626,2821,5,5,Average
627,8915,5,5,Average
628,73,4,5,Good
629,6884,4,5,Very good
630,320,4,5,Good
631,4331,5,5,Good
632,2681,5,4,Average
633,7952,4,5,Excellent
634,30,5,5,Good
635,1574,5,4,Good
636,5171,5,3,Could be better
637,3022,5,5,Very good
638,3708,3,5,Very good
639,6632,5,5,Average
640,8903,5,5,Very good
641,881,5,4,Good
642,5050,5,5,Good
643,6127,5,5,Very good
644,4279,5,5,Average
645,5913,5,4,Good
646,415,4,4,Very good
647,6816,4,4,Could be better
648,1893,4,5,Could be better
649,9477,5,5,Excellent
650,6663,5,4,Good
651,5226,5,5,Very good
652,3668,5,5,Excellent
653,9845,4,5,Average
654,8541,5,5,Could be better
655,7749,4,5,Average
656,7357,4,5,Could be better
657,6308,3,5,Good
658,2327,3,4,Average
659,4931,4,5,Average
660,4894,4,5,Could be better
661,8456,5,5,Average
662,5352,5,5,Average
663,7069,4,5,Could be better
664,1253,4,5,Could be better
665,1844,4,3,Average
666,8831,5,5,Excellent
667,3810,5,5,Average
668,7991,5,4,Good
669,3955,4,5,Good
670,946,5,5,Excellent
671,5886,5,5,Good
672,8569,5,5,Average
673,1915,5,4,Could be better
674,2926,4,5,Good
675,566,5,3,Good
676,9542,5,5,Very good
677,7506,4,5,Excellent
678,4076,5,4,Good
679,7785,5,4,Average
680,4210,4,5,Good
681,2838,5,5,Average
682,4701,5,4,Excellent
683,8941,5,5,Good
684,5951,5,4,Excellent
685,1577,5,5,Could be better
686,2283,5,5,Could be better
687,1338,4,5,Average
688,3643,5,5,Good
689,9752,4,5,Very good
690,1534,4,3,Very good
691,634,5,5,Excellent
692,2108,5,5,Good
693,258,5,5,Average
694,3739,3,4,Could be better
695,6228,5,4,Very good
696,9406,5,5,Good
697,5816,5,4,Excellent
698,7441,5,4,Excellent
699,5935,5,5,Excellent
700,6123,5,5,Could be better
701,2550,5,4,Could be better
702,1348,4,5,Very good
703,6465,5,5,Good
704,6354,5,5,Average
705,8533,4,5,Could be better
706,5164,5,5,Good
707,2828,5,5,Good
708,457,4,5,Very good
709,2234,3,4,Could be better
710,1123,5,5,Good
711,69,4,4,Good
712,831,4,5,Average
713,6824,4,5,Average
714,229,5,5,Excellent
715,9818,4,5,Excellent
716,987,4,4,Good
717,8140,5,5,Good
718,5869,5,3,Very good
719,8925,5,5,Average
720,2509,3,4,Average
721,6242,5,5,Very good
722,959,5,5,Good
723,128,3,5,Excellent
724,8807,5,5,Very good
725,6573,4,5,Could be better
726,4470,3,4,Excellent
727,2250,5,5,Good
728,4665,5,5,Very good
729,5998,3,4,Good
730,8221,5,5,Very good
731,2947,5,3,Good
732,6934,5,5,Could be better
733,2027,3,4,Very good
734,8062,5,5,Very good
735,149,5,5,Good
736,5488,5,4,Very good
737,2237,5,5,Average
738,9983,5,5,Very good
739,5141,4,4,Good
740,178,5,5,Average
741,8584,4,5,Very good
742,8506,5,5,Average
743,5370,3,5,Excellent
744,4889,5,4,Average
745,6019,5,4,Could be better
746,8465,4,5,Average
747,5210,4,5,Could be better
748,6961,5,5,Very good
749,7947,5,5,Very good
750,7484,5,4,Good
751,6490,4,5,Good
752,1291,5,3,Very good
753,9969,5,5,Excellent
754,5182,5,5,Good
755,9970,5,5,Could be better
756,899,5,5,Could be better
757,7794,5,5,Average
758,6539,5,5,Very good
759,1020,4,4,Excellent
760,218,5,5,Good
761,131,5,5,Average
762,477,5,5,Excellent
763,1447,4,4,Excellent
764,2118,4,4,Good
765,3256,5,5,Excellent
766,1739,5,5,Could be better
767,6494,5,5,Good
768,3343,4,5,Could be better
769,1595,5,4,Good
770,8099,5,5,Could be better
771,9770,5,5,Good
772,7397,5,4,Very good
773,2537,5,5,Could be better
774,9272,5,5,Could be better
775,8813,4,4,Very good
776,3167,5,4,Average
777,5372,5,5,Excellent
778,8530,5,5,Good
779,5824,3,3,Excellent
780,6285,5,4,Excellent
781,7352,4,5,Very good
782,8174,5,5,Could be better
783,4233,5,5,Very good
784,9427,5,5,Very good
785,8517,3,5,Very good
786,2076,5,5,Excellent
787,6488,5,5,Good
788,9094,5,5,Excellent
789,664,5,4,Very good
790,5474,5,5,Excellent
791,6214,5,4,Very good
792,6926,4,5,Excellent
793,5451,4,5,Excellent
794,1357,3,3,Very good
795,7196,5,5,Very good
796,5428,5,5,Excellent
797,5817,5,5,Very good
798,3394,5,5,Average
799,9747,4,5,Average
800,1415,3,5,Very good
801,3220,4,3,Good
802,2624,3,5,Could be better
803,7096,5,4,Average
804,9989,5,5,Excellent
805,5749,3,4,Average
806,6434,4,3,Good
807,8361,5,5,Very good
808,3618,4,5,Excellent
809,8636,5,5,Excellent
810,7272,4,5,Excellent
811,8969,5,4,Average
812,8610,5,5,Good
813,7271,4,5,Very good
814,3871,5,5,Excellent
815,9701,5,4,Excellent
816,3893,5,5,Very good
817,107,5,5,Good
818,7028,4,5,Average
819,5534,4,5,Very good
820,1260,5,5,Very good
821,5120,5,5,Excellent
822,3064,4,5,Could be better
823,9084,4,4,Excellent
824,2714,5,5,Average
825,9239,4,5,Average
826,7211,5,4,Good
827,2849,5,5,Very good
828,9470,5,5,Very good
829,6941,5,4,Very good
830,233,3,5,Average
831,9456,5,4,Average
832,3024,5,4,Very good
833,5497,4,5,Could be better
834,5030,4,5,Excellent
835,4320,5,5,Could be better
836,2088,3,5,Good
837,7741,5,4,Very good
838,47,5,5,Could be better
839,2446,5,5,Excellent
840,4713,5,5,Good
841,8384,5,5,Very good
842,3729,5,5,Good
843,2558,5,5,Good
844,219,5,3,Could be better
845,4886,3,5,Good
846,7950,5,5,Excellent
847,5381,5,5,Excellent
848,8841,4,5,Excellent
849,9585,5,5,Average
850,6984,4,5,Good
851,7344,4,5,Good
852,4490,4,5,Average
853,5997,5,5,Average
854,5023,5,4,Average
855,6673,4,5,Excellent
856,8917,5,4,Very good
857,8192,4,5,Average
858,7501,3,5,Good
859,1340,4,4,Good
860,4450,5,5,Very good
861,1080,4,4,Good
862,4052,4,5,Excellent
863,5634,5,4,Very good
864,3899,5,4,Could be better
865,7085,5,5,Very good
866,4028,5,5,Average
867,3854,5,4,Excellent
868,1538,5,4,Excellent
869,9855,5,5,Average
870,1761,3,4,Very good
871,41,5,5,Good
872,4114,5,5,Good
873,1181,5,5,Very good
874,2099,4,5,Could be better
875,7490,4,5,Could be better
876,9263,5,5,Very good
877,8901,5,3,Very good
878,5755,5,4,Very good
879,1381,5,5,Very good
880,1667,5,5,Good
881,3950,4,3,Could be better
882,1298,5,5,Average
883,1714,5,4,Could be better
884,650,5,5,Excellent
885,7885,5,5,Excellent
886,568,5,5,Excellent
887,2302,5,5,Excellent
888,6710,4,5,Good
889,5793,4,5,Good
890,8858,5,5,Good
891,199,5,5,Could be better
892,8053,5,5,Average
893,2202,4,5,Excellent
894,8333,5,5,Very good
895,115,5,5,Very good
896,1378,5,5,Average
897,5826,5,5,Good
898,4544,5,4,Excellent
899,7152,5,5,Very good
900,7924,5,5,Average
901,2376,5,5,Excellent
902,8356,5,4,Good
903,9621,5,4,Average
904,7136,5,5,Excellent
905,3471,5,5,Excellent
906,8580,5,4,Excellent
907,1933,4,5,Excellent
908,5540,5,5,Excellent
909,7837,4,5,Very good
910,2048,4,5,Excellent
911,9744,5,4,Average
912,2152,5,3,Good
913,5508,5,3,Could be better
914,692,5,5,Very good
915,6261,4,5,Very good
916,8093,5,5,Could be better
917,1242,5,5,Very good
918,8455,3,5,Average
919,5738,5,5,Average
920,755,5,5,Very good
921,7866,3,4,Excellent
922,8922,5,4,Excellent
923,1864,5,5,Good
924,5989,5,4,Could be better
925,4453,4,4,Could be better
926,5473,5,5,Could be better
927,4037,5,5,Excellent
928,1794,5,5,Good
929,639,4,5,Good
930,9213,5,4,Average
931,6489,5,5,Excellent
932,5169,5,4,Very good
933,7276,5,5,Good
934,5842,4,5,Very good
935,2483,4,5,Average
936,1211,5,5,Very good
937,6044,5,5,Good
938,617,5,4,Excellent
939,1116,4,5,Excellent
940,4584,4,5,Good
941,2976,5,5,Could be better
942,8615,5,5,Average
943,6684,5,5,Could be better
944,4055,4,5,Good
945,7881,4,5,Very good
946,7011,5,5,Could be better
947,8413,5,5,Very good
948,6323,4,5,Very good
949,1805,3,4,Average
950,9086,5,5,Good
951,2836,5,5,Good
952,2247,5,5,Good
953,9492,5,5,Very good
954,3522,5,5,Could be better
955,8728,4,5,Good
956,5142,5,5,Good
957,8165,4,4,Good
958,6507,5,5,Could be better
959,7638,5,5,Average
960,9824,4,4,Average
961,521,5,5,Good
962,1723,5,5,Good
963,207,5,4,Very good
964,9756,5,5,Very good
965,1505,4,5,Excellent
966,3231,5,5,Very good
967,6454,5,5,Could be better
968,4330,4,3,Average
969,4650,5,5,Very good
970,4276,5,4,Average
971,7051,5,5,Could be better
972,4530,4,4,Good
973,9581,3,5,Average
974,691,5,3,Excellent
975,5834,5,5,Average
976,742,4,3,Average
977,5274,5,5,Could be better
978,8248,4,5,Good
979,1559,5,4,Very good
980,901,5,5,Good
981,9839,3,5,Could be better
982,2929,3,5,Good
983,4973,4,4,Excellent
984,1529,4,5,Excellent
985,4635,5,4,Could be better
986,1568,5,5,Good
987,693,5,5,Excellent
988,6619,5,5,Very good
989,2754,3,4,Good
990,7479,5,5,Could be better
991,7889,5,5,Could be better
992,2975,4,3,Excellent
993,5838,4,5,Very good
994,6046,4,5,Very good
995,9174,3,5,Very good
996,5661,5,4,Very good
997,4361,4,5,Good
998,5292,5,5,Very good
999,6897,3,5,Very good
1000,5406,4,5,Average
1001,2382,5,5,Very good
1002,7864,5,4,Could be better
1003,2009,4,4,Very good
1004,4130,4,5,Could be better
1005,3439,3,3,Very good
1006,6028,5,5,Excellent
1007,2456,4,4,Very good
1008,614,5,4,Good
1009,5790,5,5,Excellent
1010,6595,4,5,Average
1011,2517,5,5,Average
1012,1150,5,4,Very good
1013,5136,5,4,Could be better
1014,6659,5,5,Could be better
1015,3448,5,5,Excellent
1016,7595,5,5,Average
1017,2307,4,5,Average
1018,6415,5,5,Average
1019,609,5,5,Could be better
1020,5956,5,5,Excellent
1021,1724,5,5,Good
1022,8027,5,5,Excellent
1023,5975,5,4,Could be better
1024,2051,5,5,Excellent
1025,323,5,5,Excellent
1026,2090,5,5,Very good
1027,7997,5,5,Excellent
1028,1130,5,5,Good
1029,985,5,4,Very good
1030,3155,5,5,Good
1031,3151,5,5,Could be better
1032,4575,4,5,Could be better
1033,7781,4,4,Could be better
1034,553,4,5,Average
1035,8419,4,5,Very good
1036,8789,5,4,Very good
1037,6943,5,5,Very good
1038,299,5,4,Excellent
1039,1900,4,5,Good
1040,8835,5,5,Very good
1041,5856,5,4,Average
1042,1356,5,5,Good
1043,7911,3,5,Average
1044,9967,5,4,Excellent
1045,6157,4,5,Excellent
1046,4681,4,5,Could be better
1047,6344,5,5,Good
1048,7582,5,5,Average
1049,4242,5,5,Excellent
1050,6875,4,5,Very good
1051,5077,4,5,Good
1052,4682,4,5,Could be better
1053,82,3,5,Good
1054,5942,5,4,Excellent
1055,9182,4,5,Average
1056,4817,5,3,Good
1057,134,5,5,Excellent
1058,5855,5,5,Excellent
1059,1246,5,5,Average
1060,2305,5,5,Very good
1061,6621,4,5,Could be better
1062,1144,5,5,Good
1063,2794,5,4,Average
1064,206,5,4,Excellent
1065,4890,4,5,Excellent
1066,3905,5,5,Good
1067,789,5,4,Good
1068,7163,5,5,Good
1069,3487,4,4,Could be better
1070,5296,3,3,Very good
1071,580,4,5,Very good
1072,7025,4,4,Very good
1073,3149,5,5,Could be better
1074,764,5,3,Good
1075,4955,5,5,Could be better
