driver_id,driver_name,city,joining_date,driver_rating
206,Driver_0206,Kolkata,2022-06-09,3.75
207,Driver_0207,Hyderabad,2022-11-27,3.96
208,Driver_0208,Hyderabad,2024-02-15,4.78
209,Driver_0209,Ahmedabad,2022-08-13,4.3
210,Driver_0210,Ahmedabad,2024-09-09,4.16
211,Driver_0211,Hyderabad,2023-12-30,4.41
212,Driver_0212,Delhi,2024-12-04,4.53
213,Driver_0213,Ahmedabad,2025-05-22,4.74
214,Driver_0214,Mumbai,2024-12-18,4.86
215,Driver_0215,Kolkata,2023-10-06,4.22
216,Driver_0216,Mumbai,2023-09-08,3.89
217,Driver_0217,Delhi,2022-07-14,4.21
218,Driver_0218,Bengaluru,2023-05-04,4.44
219,Driver_0219,Pune,2022-06-06,4.01
220,Driver_0220,Kolkata,2023-09-02,4.01
221,Driver_0221,Ahmedabad,2025-06-03,4.47
222,Driver_0222,Kolkata,2023-02-16,4.33
223,Driver_0223,Mumbai,2025-05-13,4.36
224,Driver_0224,Pune,2025-01-07,4.08
225,Driver_0225,Chennai,2025-02-21,4.27
226,Driver_0226,Chennai,2023-04-16,4.03
227,Driver_0227,Ahmedabad,2025-05-26,4.66
228,Driver_0228,Delhi,2023-05-31,4.71
229,Driver_0229,Chennai,2025-02-01,3.7
230,Driver_0230,Kolkata,2023-01-28,4.02
231,Driver_0231,Chennai,2023-09-23,3.83
232,Driver_0232,Bengaluru,2023-08-31,4.12
233,Driver_0233,Bengaluru,2024-09-06,4.32
234,Driver_0234,Ahmedabad,2023-03-10,3.84
235,Driver_0235,Bengaluru,2025-09-16,4.03
236,Driver_0236,Chennai,2025-03-12,4
237,Driver_0237,Delhi,2023-06-24,4.42
238,Driver_0238,Hyderabad,2022-10-05,4.37
239,Driver_0239,Hyderabad,2022-08-21,4.1
240,Driver_0240,Ahmedabad,2025-01-18,4.41
241,Driver_0241,Pune,2025-05-07,4.16
242,Driver_0242,Hyderabad,2022-12-28,4.25
243,Driver_0243,Hyderabad,2022-01-26,4.94
244,Driver_0244,Bengaluru,2024-11-14,4.82
245,Driver_0245,Bengaluru,2025-11-18,3.9
246,Driver_0246,Chennai,2023-05-22,4.64
247,Driver_0247,Ahmedabad,2025-08-17,4.63
248,Driver_0248,Pune,2025-09-24,3.95
249,Driver_0249,Ahmedabad,2022-09-24,4.64
250,Driver_0250,Mumbai,2023-04-06,4.89
